,Вопрос абонента,Тематика
9733,Сколько я должна оплатить услуги по пку,13
9734,"Мне сейчас пришлю уведомление о том что я должен оплатить лемит предоставленный вами 182,14р",13
9735,"16.07 я оплатила 600 р, почему с меня просят внести ещё 501,3 р за некий лимит, который мне предоставлен",13
9736,"У меня есть лимит 500 руб, до какого момента я должна внести оплату?",13
9737,Плати посже услуга как оплатить,13
9738,мне дали лимит на 900р. и у меня в данный момент-844 должен ли я заплатить эти деньги?,13
9739,"на сколько нужно пополнить счет по услуге плати когда удобно , чтобы возобновились услуги связи",13
9740,Завтра во сколько закончиться лимит,13
9741,Надо погасить долг по кредитному лимиту?,13
9742,"Не забудьте пополнить баланс на 1369.56 руб. Эта сумма была предоставлена из лимита по услуге Будь на связи !” за Июнь 2020 . Благодаря ей Вы продолжали общаться, когда Ваши собственные средства закончились. Напомним, сумму нужно внести до 1 числа следующего месяца , ч",13
9743,Здравствуйте! Почему у меня минус на счете?? Что это за лимит?!,13
9744,сколько я могу пользоваться предоставленным лимитом и не платить,13
9745,до какого числа нужно погасить долг по услуге будь на связи,13
9746,сколько мне нужно внести по опции плати когда удобно ?,13
9747,"мне предоставлен лимит в 800 рублей,он не активен на данный момент?",13
9748,На какую сумму необходимо пополнить счёт для погашения лимита?,13
9749,"ЛА ЭО ЧТО???: Лимит по услуге Будь на связи ! заканчивается - осталось 40.44 руб. Пополните баланс, чтобы избежать блокировки номера: https://lk.megafon.ru/inapp/refill",13
9750,Здравствуйте! Сколько я должна сейчас внести чтобы оставаться на связи по услуге плати когда удобно,13
9751,"добрый день, заблокировали номер из-за задолженности по услуге будь на связи . задолженность -1426 за июнь , сказано погасить до 1 числа следующего месяца",13
9752,"Мне пришло сообщение, что нужно оплатить задолженность по «платить позже »",13
9753,"Внесите 861,28 ₽ до конца месяца , чтобы лимит по услуге Будь на связи ! не уменьшился. Это сумма, потраченная ранее из предоставленного лимита.",13
9754,как оплатить долги по будь на связи,13
9755,Как перечислить с лимита на ваши средства,13
9756,"Подскажите пожалуйста, что будет, если я не успею погасить использованные деньги из лимита до 1 числа августа ?",13
9757,какая задолженность по будь на связи ?,13
9758,Мне надо платить деньги за всегда на связи ?,13
9759,"добрый день. вчера с меня списались деньги по тарифу, я вышел за лимит услуги ""всегда на связи "". так же вчера пришло сообщение, о том что для восстановления услуг связи нужно оплатить 312 рублей (чтобы вернутся в лимит)",13
9760,"здравствуйте! у меня есть лимит по услуге, так как Мегафон мне доверяет, и я деньги не клал, а они есть как бы виртуальные. всего 600 рублей доступа. когда они закончатся необходимо будет закидывать эту всю сумму? или я всегда на связи теперь?",13
9761,счет за услуги Будь на связи,13
9762,скажите сколько у меня лимита и сколько задолженно хотела бы узнать,13
9763,списание денег по тарифубудь на связи,13
9764,моядо конца месяца положить на деньги 2 300 до этого до сентября ли до октября,13
9765,мне предоставлен лимит 200 р сумму потраченную из этого нужно вынести внести до конца следующего месяца,13
9766,сколько нужно положить денег для того чтобы закрытие лимит,13
9767,я связь мне нужен 620 р у тебя на балансе понятно ты за 2 месяца должен,13
9768,мой долг за сентябрь месяц услуги будь на связи,13
9769,нет собственные средства и закончился лимит передана связи,13
9770,"у меня пришло смс, что счет за январь 2021 по услугеБудь на связи оплачен полностью",13
9771,"Я сегодня пополнил на 1050 рублей, лимит сейчас 3150 рублей",13
9772,Почему номер заблокировался? Лимит «будь на связи » ещё не закончился,13
9773,По услугиплати потом нет задолженностей ?,13
9774,"Здравствуйте, можно узнать, почему мне пришло сообщение от Мегафон, по поводу того, что мой номер будет заблокирован, если я не оплачу израсходованный мной лимит, о котором я знать не знаю? Сегодня я погасила минус на балансе,оплатив услугу «безлимитный интернет », после чего у меня связь с миром в общем отрывается, я не могу не позвонить,якобы номер абонента не доступен, не могу воспользоваться услугами интернета, хотя баланс положительный и нигде в приложении(lichnyy_kabinet) не упоминается, что номер телефона заблокирован, так почему же я не могу ни до кого дозвониться? В чем плюсы вашего дополнительного лимита????",13
9775,"доброй день! подскажите пожалуйста, сколько мне нужно положить средств на номер. получила смс лимит исчерпан Я всегда платила 500 р, теперь вижу 1000? какую сумму мне нужно оплачивать в месяц? спасибо.",13
9776,"здравствуйте. у меня лимит услуги будь на связи полный, почему с меня требуют 167 рублей за оплату по лимиту. я его не расходовал.",13
9777,"какую сумму мне нужно внести , что бы мой лимит не уменьшился до конца месяца ?",13
9778,Здравствуйте доступно774р Ваши средства -26р Лимит 800р почему так в этом номере 89234609745(phone_number),13
9779,здравствуйте. мне позвонили с Мегафон и сказали что у меня лимит 400 рублей. если даже я не положу на счёт деньги в положенное 25 числа я буду все равно на связи. я не на связи. в чем дело,13
9780,До какого числа нужно пополнить лимит на телефоне?,13
9781,по услуге будь на связи нужно внестидо 01.04. сегодня только 29.03. Почему стоят ограничения!??!,13
9782,"Добрый вечер, подскажите, по плану у меня завтра спишется со счёта 600 рублей, я останусь в рамках лимита. Сейчас на счету достаточно средств для списания завтра и чтобы оставаться на связи?",13
9783,"Здравствуйте, приостановлено обслуживание. Но я в балансе будь на связи он у меня л0 - 2000р",13
9784,А как же лимит? Я должна внести еще денег? Итого1300 ?,13
9785,"Не могу никуда позвонить , выдит сообщение лимит исчерпан . Почему ?",13
9786,"добрый день! запутался в услуге будь на связи у меня сейчас там положительный баланс и остаток меньше лимита, но связи нет. помогите разобраться пожалуйста",13
9787,"Добрый день. Этот номер заблокирован из-за превышения отрицательного баланса. Превышение отрицательного лимита был вызван тем, что была списана оплата за смену тарифа. И получается что деньги уплочены, хоть и в кредит, но услуга заблокирована. Как быть в данной ситуации?",13
9788,"мой лимит по услуге плати когда угодно 2000, сейчас на счёте минус 1923 рубля, почему я не могу пользоваться услугами связи?",13
9789,"Добрый вечер, хотелось бы понять: -4711,39р. доступно на сегодня. -3611,39р. баланс. -1100р. Предоставленный лимит. Если я правильно понимаю, то 3611,39 это деньги на моём счету и соответственно пока их не потрачу могу денег не заносить на счёт. Правильно?)",13
9790,Написано что пополнить нужно до конца месяца .,13
9791,"Лимит по услуге будь на связи имеется, почему не доступна связь? Срок оплаты стоит до конца месяца",13
9792,Почему номер заблокировался? Лимит «будь на связи » ещё не закончился,13
9793,"еще раз спрашиваю ддя чего услуга будь на связи в которой лимит -1700 на балансе сейчас -1671 лимит услуги не превышен, вы списали с меня платеж за следующий месяц а связь не доступна.",13
9794,"Привет, можно узнать размер задолженности моей по услуге ""плати потом "" вроде так называется",13
9795,"Поясните, о каком лимите идёт речь, и почему у меня нет своих денег на счете?",13
9796,"У вас есть задолженность - 477.75 руб. за использование сервиса ""Плати позже "" 19.03.2021. Пожалуйста, пополните баланс для полного погашения: www.megafon.ru/go/s_lk_b2c",13
9797,Здравствуйте! Подскажите-я не понимаю какую сумму мне надо погасить? Утром пришло смс -что до конца месяца до 1 числа внести 845 рублей . Вечером пришло смс -что погасить надо 2500-и номер уже заблокирован,13
9798,мне нужно будет вернуть весь лимит и оплатить тариф?,13
9799,посему у меня приостановили умлуги суязи зотя денег по услуге будь на связи достаточно чтобы я мог звонить,13
9800,"Не совсем понял, на какую сумму надо пополнить счёт и смысл тогда в услуге Будь на связи ?",13
9801,"Здравствуйте, в приложении в разделе вам доступно у меня плюслвой баланс. Нужно погасить 700+ рублей , но это до конца месяца . В данный момент связь ограничена, по какой причине?",13
9802,"Долг пишете сначала 668,21 ;а потом 821,21 ,какая сумма в итоге должна быть оплачена?",13
9803,"Добрый день ! У меня по услугеБудь на связи надо оплатить 1307,1 р. до 1-го апреля .На счете 1214,3.Если я сегодня не успею оплатить,значит завтра телефон будет заблокирован?",13
9804,"Здравствуйте. У меня 28.02 снимается абонентская плата за следующий месяц . Сейчас у меня баланс -632 рубля, это максимальный лимит или завтра у меня будет снято ещё -600 ?",13
9805,а что за лимит будь на связи у меня еще есть счет какой то,13
9806,"у меня было лимит до 3500 рубл, я могу использовать услуги если я шас оплачу 1000 рублей?",13
9807,"добрый день, почему у меня написано блокировка и пополнить счет надо более чем на три тысячи? если у меня лимит 1900 и сегодня списали абонетскую и задолженность 2400 ?",13
9808,"добрый день! Сумма, которая видна на моем счете это деньги, которые я внесла или там учтен доступный кредитный лимит ?",13
9809,да - 1150 р я буду пользоваться а потом сколько мне надо будет положить денег на счет,13
10013,Ваш разговор вскоре будет продолжен,35
10014,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при билайн и оказался если не любите нет,35
10015,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар еще нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при,35
10016,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход он лайн я комиссар еще нубидь анти нет,35
10017,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар еще не выкиньте нет,35
10018,я не могу нет я по телефону говорю,35
10019,соединение восстанавливается,35
10020,разговор будет продолжен пожалуйста не отключайтесь при с онлайн я комиссар если нубидь интернет .,35
10021,пожалуйста оставайтесь на линии ваш разговор вскоре будет продолжен,35
10022,пожалуйста оставайтесь на линии ваш разговор вскоре будет продолжен,35
10023,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар ещанный выкиньте нет,35
10024,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я ко мне совершенно выкинуть или нет,35
10025,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар еще нубидь анти нет,35
10026,продолжен пожалуйста не отключайтесь при исход он лайн я комиссар если нубидь анти нет собеседник поставил,35
10027,ситник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь плиииз поводу он лайн я комиссар еще нубидь анти нет,35
10028,будет продолжен пожалуйста не отключайтесь при исхода онлайн я комиссар нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар еще нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при входе онлайн я комиссар еще не выкиньте нет,35
10029,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар ещанный выкиньте нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн я комиссар любите нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь,35
10030,не работает 2 линия,35
10031,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар ещанный выкиньте нет,35
10032,одних поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар выкинуть или нет,35
10033,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при,35
10034,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар ещанный выкиньте нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при,35
10035,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при с онлайн я ко мне списаны выкинуть или нет,35
10036,пожалуйста оставайтесь на линии ваш разговор вскоре будет продолжен,35
10037,собеседник поставил звонок,35
10038,при исхода он лайн я комиссар еще нубидь анти нет,35
10039,соединение восстанавливается,35
10040,пожалуйста не отключайтесь при исхода онлайн я комиссар если вы убить анти нет,35
10041,соединение восстанавливается,35
10042,соединение восстанавливается,35
10043,але можно пообщаться,35
10044,пожалуйста оставайтесь на линии ваш разговор вскоре будет продолжен,35
10045,связь с оператором собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь 3 исход онлайн я комиссар любите нет,35
10046,снимите нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста,35
10047,собеседник поставил звонок на удержания разговор будет продолжен,35
10048,собеседник поставил звонок на удержания разговор будет продолжен,35
10049,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар еще нубидь анти нет,35
10050,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исхода онлайн я комиссар еще нубидь анти нет,35
10051,при исхода онлайн я комиссар еще нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь,35
10052,при исход онлайн я комиссар если нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн я комиссар выкиньте нет,35
10053,отключитесь при исхода онлайн я комиссар нубидь интернет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн,35
10054,пожалуйста не отключайтесь при исход он лайн я комиссар если нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн яковишин выкиньте нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при худо онлайн я комиссар еще минут,35
10055,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар выкиньте нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн я комиссар любите нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при худо онлайн яковишин выкиньте нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь,35
10056,пожалуйста не отключайтесь при исхода онлайн я комиссар еще нубидь анти нет,35
10057,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь плиииз поводу онлайн я комиссар если вы убить анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста,35
10058,разговор будет продолжен пожалуйста не отключайтесь,35
10059,звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар выкиньте нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн яковишин врубите нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь прихода онлайн яковишин врубите нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь приход онлайн,35
10060,пожалуйста оставайтесь на линии ваш разговор вскоре будет продолжен,35
10061,ожидание разговор будет продолжен пожалуйста,35
10062,ситник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь,35
10063,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при с онлайн я комиссар выкинуть или нет,35
10064,поставил звонок на удержаний,35
10065,связь на линии ваш разговор вскоре будет продолжен,35
10066,соединение восстанавливается,35
10067,просто оставайтесь на линии ваш разговор,35
10068,соединяю связь,35
10069,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар ещанный выкиньте нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн я комиссар нубидь мби нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь прихода онлайн яковишин выкинуть или нет,35
10070,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при с онлайн я комиссар выкиньте нет,35
10071,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь я тебя не поясу алло алло слава богу появился сколько будет почему что трубку бросил,35
10072,собеседник поступил звонок на удержания разговор будет продолжен,35
10073,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар выкинуть или нет,35
10074,собеседник поставил звонок на удержания разговор,35
10075,вот он лайн я комиссар если нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при поводу онлайн я комиссар еще нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я ко мне совершенно врубите нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар еще нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при входе онлайн яковишин выкиньте нет собеседника,35
10076,я комиссар если нубидь анти нет,35
10077,пожалуйста не отключайтесь при исход он лайн я комиссар если нубидь анти нет,35
10078,пожалуйста оставайтесь на линии ваш разговор вскоре будет продолжен,35
10079,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь,35
10080,ожидание разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар еще нубидь анти нет,35
10081,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь 3 билайн,35
10082,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн я комиссар если выкинуть или нет,35
10083,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар еще нубидь анти нет,35
10084,будет продолжен пожалуйста не отключайтесь,35
10085,поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь 3 исход онлайн я комиссар нубидь анти нет,35
10086,соединение восстанавливается,35
10087,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста нет,35
10088,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар еще нубидь анти нет,35
10089,собеседник поставил звонок на удержания,35
10090,ожидание разговор будет продолжен,35
10091,содержание разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при,35
10092,как на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар нубидь анти нет,35
10093,не отключайтесь при исход он лайн я ко мне со нубидь анти нет,35
10094,да будет продолжен пожалуйста не отключайтесь при исход онлайн я ко мне саисан выбить анти нет,35
10095,я комиссар если нубидь анти нет,35
10096,пожалуйста не отключайтесь при исход он лайн я комиссар если нубидь анти нет,35
10097,откуда он лайн я комиссар еще нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар ещанный выкиньте нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь прихода онлайн яковишин врубите нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при худо онлайн яковишин врубите нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь прихода онлайн яковишин любите нет собеседник повторю звонок на удержания разговор будет продолжен пожалуйста не отключайтесь,35
10098,соединение восстанавливается,35
10099,пожалуйста оставайтесь на линии ваш разговор вскоре будет продолжен,35
10100,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при с онлайн я ко мне его бить анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн и нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн,35
10101,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар еше нубидь анти нет,35
10102,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар выкиньте нет,35
10103,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар выкиньте нет,35
10104,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар еще нубидь анти нет,35
10105,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн я ко мне выкинуть или нет,35
10106,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход он лайн я комиссар еще нубидь анти нет,35
10107,нет соединения со специалистом,35
10108,пожалуйста оставайтесь на линии ваш разговор вскоре будет продолжен,35
10109,пожалуйста оставайтесь на линии ваш разговор вскоре будет продолжен,35
10110,нет соедините да,35
10111,пожалуйста оставайтесь на линии ваш разговор вскоре будет продолжен,35
10112,пожалуйста оставайтесь на линии ваш разговор вскоре будет продолжен,35
10113,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн я комиссар еще нубидь анти нет,35
10114,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь плииз,35
10115,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар ещанный выкиньте нет,35
10116,вот он лайн я комиссар если нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар нубидь мби нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь,35
10117,ситник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход он лайн я комиссар если вы убить анти нет [: holdon/OPEN_QUESTION] Прервано абонентом через 0 сек.,35
10118,пожалуйста оставайтесь на линии ваш разговор вскоре будет продолжен [holdon;none;none;disconnectPKU: holdon/null] Прервано абонентом через 3 сек.,35
10119,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при с поводу [holdon;none;none;disconnectPKU: holdon/OPEN_QUESTION],35
10120,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь [holdon: holdon/null] Прервано абонентом через 0 сек.,35
10121,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста [holdon;none;none;realbalancePKU: holdon/null] Прервано абонентом через 8 сек.,35
10122,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при поводу он лайн я комиссар еще нубидь анти нет [: holdon/INIT_QUESTION] Прервано абонентом через 1 сек.,35
10123,собеседник поставил звонок [confused;none;none;debtPKU: confused/OPEN_QUESTION],35
10124,будет продолжен пожалуйста не отключайтесь поводу с онлайн я комиссар если нубидь анти нет [: holdon/OPEN_QUESTION] Прервано абонентом через 1 сек.,35
10125,вот он лайн я комиссар еще нубидь анти нет [: confused/OPEN_QUESTION] Прервано абонентом через 0 сек.,35
10126,собеседник поставил звонок на удержания разговор будет продолжен [holdon;none;none;realbalancePKU;option: holdon/OPEN_QUESTION],35
10127,пожалуйста оставайтесь на линии разговоре будет продолжен,35
10128,отключите плиз поводу он лайн я комиссар если нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн,35
10129,я собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар выкинуть или нет,35
10130,собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар еще нубидь анти нет,35
10131,разговор будет продолжен пожалуйста не отключайтесь при исход онлайн я комиссар нубидь анти нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при онлайн я комиссар любите нет собеседник поставил звонок на удержания разговор будет продолжен пожалуйста не отключайтесь при худо онлайн яковишин вот давай переноса,35
